IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.242.165.8,443,443,true,IAD,North America,US,Ashburn,291,0.30
54.90.216.12,443,443,true,IAD,North America,US,Ashburn,239,0.30
3.88.200.241,443,443,true,IAD,North America,US,Ashburn,337,0.30
54.91.38.74,443,443,true,IAD,North America,US,Ashburn,262,0.30
3.95.177.98,443,443,true,IAD,North America,US,Ashburn,405,0.30
52.207.66.186,443,443,true,IAD,North America,US,Ashburn,463,0.30
34.212.225.15,443,443,true,SEA,North America,US,Seattle,287,0.30
51.20.4.130,443,443,true,CPH,Europe,DK,Copenhagen,229,0.30
3.252.104.242,443,443,true,DUB,Europe,IE,Dublin,286,0.30
51.20.4.130,443,443,true,CPH,Europe,DK,Copenhagen,202,0.30
54.159.55.189,443,443,true,IAD,North America,US,Ashburn,347,0.30
3.80.119.185,443,443,true,IAD,North America,US,Ashburn,354,0.30
3.22.166.245,443,443,true,IAD,North America,US,Ashburn,243,0.30
54.209.247.169,443,443,true,IAD,North America,US,Ashburn,305,0.29
54.147.23.87,443,443,true,IAD,North America,US,Ashburn,335,0.29
3.99.176.241,443,443,true,YUL,North America,CA,Montréal,256,0.29
54.174.242.60,443,443,true,IAD,North America,US,Ashburn,400,0.29
34.222.249.112,443,443,true,SEA,North America,US,Seattle,324,0.29
54.221.87.157,443,443,true,IAD,North America,US,Ashburn,337,0.29
52.90.145.237,443,443,true,IAD,North America,US,Ashburn,253,0.29
54.200.40.56,443,443,true,SEA,North America,US,Seattle,384,0.29
3.67.77.67,443,443,true,FRA,Europe,DE,Frankfurt,284,0.29
34.212.225.15,443,443,true,SEA,North America,US,Seattle,244,0.29
23.20.40.10,443,443,true,IAD,North America,US,Ashburn,271,0.29
3.95.62.240,443,443,true,IAD,North America,US,Ashburn,389,0.29
3.92.144.197,443,443,true,IAD,North America,US,Ashburn,353,0.29
3.208.18.230,443,443,true,IAD,North America,US,Ashburn,369,0.29
3.82.19.216,443,443,true,IAD,North America,US,Ashburn,273,0.28
52.23.238.165,443,443,true,IAD,North America,US,Ashburn,258,0.28
54.158.21.250,443,443,true,IAD,North America,US,Ashburn,263,0.28
3.95.207.56,443,443,true,IAD,North America,US,Ashburn,310,0.28
54.197.92.163,8443,443,true,IAD,North America,US,Ashburn,316,0.28
3.93.73.207,443,443,true,IAD,North America,US,Ashburn,323,0.27
54.187.225.43,443,443,true,PDX,North America,US,Portland,395,0.27
52.90.158.91,443,443,true,IAD,North America,US,Ashburn,433,0.27
54.196.150.121,443,443,true,IAD,North America,US,Ashburn,331,0.27
54.235.60.181,443,443,true,IAD,North America,US,Ashburn,272,0.26
3.84.225.129,443,443,true,IAD,North America,US,Ashburn,334,0.26
35.157.134.12,443,443,true,FRA,Europe,DE,Frankfurt,338,0.26
67.226.222.44,80,443,true,CMH,North America,US,Columbus,311,0.26
98.83.25.59,443,443,true,IAD,North America,US,Ashburn,252,0.25
54.147.191.50,443,443,true,IAD,North America,US,Ashburn,337,0.25
54.221.134.40,443,443,true,IAD,North America,US,Ashburn,396,0.25
54.205.212.176,443,443,true,IAD,North America,US,Ashburn,377,0.24
54.91.119.200,443,443,true,IAD,North America,US,Ashburn,253,0.24
3.81.91.32,443,443,true,IAD,North America,US,Ashburn,309,0.24
35.183.182.59,443,443,true,YUL,North America,CA,Montréal,332,0.24
15.156.73.65,443,443,true,YUL,North America,CA,Montréal,347,0.24
44.223.64.111,443,443,true,IAD,North America,US,Ashburn,302,0.23
15.156.87.8,443,443,true,YUL,North America,CA,Montréal,323,0.23
3.88.155.255,443,443,true,IAD,North America,US,Ashburn,295,0.23
3.99.12.39,443,443,true,YUL,North America,CA,Montréal,269,0.23
3.94.252.183,443,443,true,IAD,North America,US,Ashburn,252,0.23
54.164.246.25,443,443,true,IAD,North America,US,Ashburn,303,0.23
54.242.103.48,443,443,true,IAD,North America,US,Ashburn,331,0.23
213.170.157.1,443,443,true,PDX,North America,US,Portland,266,0.23
3.80.63.250,443,443,true,IAD,North America,US,Ashburn,283,0.22
18.223.116.180,443,443,true,IAD,North America,US,Ashburn,451,0.22
54.82.74.250,443,443,true,IAD,North America,US,Ashburn,330,0.22
54.236.105.87,443,443,true,IAD,North America,US,Ashburn,349,0.22
52.91.220.250,443,443,true,IAD,North America,US,Ashburn,243,0.22
3.90.222.159,8443,443,true,IAD,North America,US,Ashburn,245,0.22
54.82.85.6,443,443,true,IAD,North America,US,Ashburn,380,0.22
3.99.48.39,443,443,true,YUL,North America,CA,Montréal,301,0.21
54.242.60.92,443,443,true,IAD,North America,US,Ashburn,284,0.21
54.167.94.150,443,443,true,IAD,North America,US,Ashburn,356,0.21
54.227.25.216,443,443,true,IAD,North America,US,Ashburn,319,0.21
3.15.187.47,443,443,true,IAD,North America,US,Ashburn,389,0.21
52.212.2.173,443,443,true,DUB,Europe,IE,Dublin,278,0.21
35.183.31.176,443,443,true,YUL,North America,CA,Montréal,269,0.21
